OBJECTID,FID_Garages_Buffer,X,Y,BUFF_DIST,ORIG_FID,FID_Structures,Number,Abbrev,Private,Type,Bldg,BldgAbbr,BldgName,YearBuilt,NumFloors,Address,City,Zip,MapDisplay,Shape_Length,Shape_Area
1,1,-96.33362,30.61373,100,1,156, ,,No,UNIVERSITY,,,,,,,,, |  | ,0.000254969,3.39076E-09
2,1,-96.33362,30.61373,100,1,157, ,,No,UNIVERSITY,,,,,,,,, |  | ,0.000418734,1.00249E-08
3,1,-96.33362,30.61373,100,1,316,378,SSPG,No,GARAGE,378,SSPG,South Side Parking Garage,1990,4,750 Bizzell St,College Station,77843,South Side Parking Garage | SSPG | 0378,0.005382749,1.3684E-06
4,1,-96.33362,30.61373,100,1,323, ,,No,UNIVERSITY,,,,,,,,, |  | ,0.000258294,3.53267E-09
5,2,-96.33777,30.6165,100,2,105,468,LIBR,No,LIBRARY,468,LIBR,Evans Library,1929,7,400 Spence St,College Station,77843,Evans Library | LIBR | 0468,0.003625868,2.90519E-07
6,2,-96.33777,30.6165,100,2,212,357,,No,UNIVERSITY,357,,Vending Machine Booth,1999,1,408 Spence St,College Station,77843,Vending Machine Booth |  | 0357,0.000301509,5.12347E-09
7,2,-96.33777,30.6165,100,2,428,469,CCPG,No,GARAGE,469,CCPG,Central Campus Parking Garage,1999,8,450 Spence St,College Station,77843,Central Campus Parking Garage | CCPG | 0469,0.00220915,2.62771E-07
8,2,-96.33777,30.6165,100,2,681,470,GLAS,No,ACADEMIC,470,GLAS,Melbern G. Glasscock Building,1921,4,398 Spence St,College Station,77843,Melbern G. Glasscock Building | GLAS | 0470,0.000559177,1.51272E-08
9,2,-96.33777,30.6165,100,2,683,472,AIEN,No,ACADEMIC,472,AIEN,AI Engineering Building,1932,6,423 Spence St,College Station,77843,AI Engineering Building | AIEN | 0472,0.001784944,7.81922E-08
10,2,-96.33777,30.6165,100,2,688,516,CSC,No,ACADEMIC,516,CSC,Computing Services Center,1959,3,731 Lamar St,College Station,77843,Computing Services Center | CSC | 0516,0.001560127,1.30909E-07
11,2,-96.33777,30.6165,100,2,694,471,PAV,No,ACADEMIC,471,PAV,Pavilion,1916,2,424 Spence St,College Station,77843,Pavilion | PAV | 0471,0.001803634,1.77033E-07
12,2,-96.33777,30.6165,100,2,758,511,HLB,No,ACADEMIC,511,HLB,HEEP Laboratory Building,1957,5,645 Lamar St,College Station,77843,HEEP Laboratory Building | HLB | 0511,0.001745309,1.22633E-07
13,2,-96.33777,30.6165,100,2,772,444,PETR,No,ACADEMIC,444,PETR,Peterson Building,1963,5,435 Nagle St,College Station,77843,Peterson Building | PETR | 0444,0.00181445,6.97067E-08
14,2,-96.33777,30.6165,100,2,1024,275,LAAH,No,ACADEMIC,275,LAAH,Liberal Arts and Arts & Humanities Building,2012,5,399 Spence St,College Station,77843,Liberal Arts and Arts & Humanities Building | LAAH | 0275,0.000254754,2.41961E-09
